"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6","CV"
"PG 38:4"," [M-H]-@6.15",30921.7774279654,28036.3954852253,18996.1980238552,15924.7504294567,17295.4484780253,18227.3106571733,20960.3514526219,18227.3106571733,26154.9063350395,15924.7504294567,12184.9155840296,14856.5922293296,14541.282991194,24086.534067023,11976.4592245101,33712.1593854565,29833.3524965028,20090.3062441553,45678.3541423267,18227.3106571733,24359.1009633871,19551.2850426047,31811.2018101496,24359.1009633871,18996.1980238552,36175.8079706462,32818.1265976948,20090.3062441553,16511.7738776391,28036.3954852253,20090.3062441553,16266.6007322848,13222.5141074643,18546.9651133156,16977.7126066437,16977.7126066437,17295.4484780253,17295.4484780253,29833.3524965028,16977.7126066437,16977.7126066437,39833.3047734115,28036.3954852253,32818.1265976948,31811.2018101496,25359.4961376173,24927.793808888,26154.9063350395,18227.3106571733,19551.2850426047,19551.2850426047,17653.0468328609,17653.0468328609,17653.0468328609,18227.3106571733,4.64994531853446
"PE 38:4"," [M-H]-@6.92",8934617.09875884,8175193.11088066,8175193.11088066,8934617.09875884,8175193.11088066,8934617.09875884,8175193.11088066,8934617.09875884,8934617.09875884,8175193.11088066,8175193.11088066,8175193.11088066,8934617.09875884,8934617.09875884,8175193.11088066,6652040.89899764,8934617.09875884,8175193.11088066,8175193.11088066,8175193.11088066,6652040.89899764,6652040.89899764,8175193.11088066,8175193.11088066,8175193.11088066,8934617.09875884,8175193.11088066,8175193.11088066,8175193.11088066,8175193.11088066,8175193.11088066,8934617.09875884,8934617.09875884,8175193.11088066,8934617.09875884,8175193.11088066,8934617.09875884,8934617.09875884,8934617.09875884,8175193.11088066,8175193.11088066,8175193.11088066,8175193.11088066,8175193.11088066,8175193.11088066,8175193.11088066,8175193.11088066,8175193.11088066,8934617.09875884,8934617.09875884,8175193.11088066,8175193.11088066,8175193.11088066,8934617.09875884,8934617.09875884,4.71509047446991
"PC 34:1"," [M-Ac-H]-@6.65",1335413.27963846,1085632.68115325,1402081.73811368,1275642.44385173,1502387.29254284,1402081.73811368,1335413.27963846,1402081.73811368,1402081.73811368,1402081.73811368,1402081.73811368,1402081.73811368,1335413.27963846,1502387.29254284,1502387.29254284,1402081.73811368,1809158.7219565,1502387.29254284,1275642.44385173,1502387.29254284,1502387.29254284,929044.315194367,1502387.29254284,1502387.29254284,1502387.29254284,1191863.94024692,1085632.68115325,1035474.07508239,1035474.07508239,860116.9553139,1121428.542682,1121428.542682,1275642.44385173,1191863.94024692,1191863.94024692,1335413.27963846,1035474.07508239,860116.9553139,860116.9553139,1191863.94024692,1035474.07508239,1085632.68115325,929044.315194367,929044.315194367,1502387.29254284,1035474.07508239,929044.315194367,860116.9553139,1275642.44385173,1402081.73811368,1275642.44385173,1275642.44385173,1402081.73811368,1402081.73811368,1335413.27963846,4.72463613389903
"PE 38:6"," [M-H]-@6.16",8175193.11088066,8934617.09875884,8934617.09875884,8175193.11088066,8934617.09875884,8175193.11088066,8934617.09875884,8175193.11088066,8175193.11088066,8934617.09875884,8934617.09875884,8934617.09875884,8175193.11088066,8175193.11088066,8934617.09875884,8175193.11088066,8175193.11088066,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8175193.11088066,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8175193.11088066,8175193.11088066,8934617.09875884,6652040.89899764,8934617.09875884,8175193.11088066,8175193.11088066,6652040.89899764,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8934617.09875884,8175193.11088066,8175193.11088066,8934617.09875884,8934617.09875884,8934617.09875884,8175193.11088066,8175193.11088066,4.77526651771297
"plasmenyl-PE 36:4"," [M-H]-@6.68",1191863.94024692,1121428.542682,1275642.44385173,1121428.542682,1335413.27963846,1275642.44385173,1191863.94024692,1191863.94024692,1275642.44385173,1191863.94024692,1121428.542682,1191863.94024692,1191863.94024692,1191863.94024692,1191863.94024692,1275642.44385173,1335413.27963846,1275642.44385173,2981965.03603535,1191863.94024692,1191863.94024692,1085632.68115325,1191863.94024692,1275642.44385173,1275642.44385173,1275642.44385173,1335413.27963846,1121428.542682,1085632.68115325,1121428.542682,1085632.68115325,1085632.68115325,1085632.68115325,1275642.44385173,1275642.44385173,1402081.73811368,929044.315194367,1085632.68115325,929044.315194367,1035474.07508239,1121428.542682,1121428.542682,1085632.68115325,1275642.44385173,1275642.44385173,1121428.542682,1085632.68115325,929044.315194367,1191863.94024692,1275642.44385173,1121428.542682,1191863.94024692,1191863.94024692,1275642.44385173,1275642.44385173,4.89785710286374
"PG 34:2"," [M-H]-@5.31",267537.008867386,109331.860803225,220351.947479556,139579.628641828,151836.85010263,166169.787073282,220351.947479556,174821.754738674,267537.008867386,80125.0146541009,121044.482007913,126004.307551344,139579.628641828,174821.754738674,182128.323351054,89756.1928241146,121044.482007913,145525.564021415,60342.0065430414,166169.787073282,129151.795798432,101591.649877395,104314.230063418,91346.6549742346,77856.7261190995,121044.482007913,109331.860803225,296763.152977115,126004.307551344,126004.307551344,267537.008867386,109331.860803225,109331.860803225,104314.230063418,89756.1928241146,23275.8576896441,62449.6329820844,228644.813185374,166169.787073282,132036.420915596,85302.2070384946,166169.787073282,228644.813185374,199872.206548552,85302.2070384946,151836.85010263,166169.787073282,190894.456675333,139579.628641828,139579.628641828,139579.628641828,129151.795798432,129151.795798432,145525.564021415,126004.307551344,5.39940264239838
"PE 36:2"," [M-H]-@6.98",1035474.07508239,1191863.94024692,860116.9553139,1191863.94024692,860116.9553139,860116.9553139,1035474.07508239,1035474.07508239,751429.470397799,617257.682346834,751429.470397799,702224.346138206,860116.9553139,1035474.07508239,1035474.07508239,1335413.27963846,617257.682346834,929044.315194367,860116.9553139,1121428.542682,929044.315194367,1121428.542682,702224.346138206,1085632.68115325,751429.470397799,1402081.73811368,1502387.29254284,1275642.44385173,1121428.542682,1275642.44385173,1402081.73811368,1191863.94024692,1402081.73811368,929044.315194367,1035474.07508239,617257.682346834,1085632.68115325,1502387.29254284,1402081.73811368,1335413.27963846,1085632.68115325,1191863.94024692,1402081.73811368,1191863.94024692,702224.346138206,1335413.27963846,1335413.27963846,1809158.7219565,1035474.07508239,1035474.07508239,1191863.94024692,1035474.07508239,1035474.07508239,1035474.07508239,1035474.07508239,5.58791337838017
"PC 34:2"," [M-Ac-H]-@6.21",1402081.73811368,1275642.44385173,1502387.29254284,1809158.7219565,1402081.73811368,1809158.7219565,1502387.29254284,1502387.29254284,1502387.29254284,1121428.542682,1275642.44385173,1275642.44385173,1402081.73811368,1275642.44385173,1402081.73811368,1085632.68115325,1275642.44385173,1191863.94024692,1121428.542682,1275642.44385173,1121428.542682,1502387.29254284,1085632.68115325,1121428.542682,1121428.542682,1809158.7219565,1402081.73811368,1402081.73811368,1402081.73811368,1502387.29254284,1809158.7219565,1502387.29254284,2981965.03603535,1121428.542682,1402081.73811368,702224.346138206,1335413.27963846,1275642.44385173,1275642.44385173,1809158.7219565,1275642.44385173,1335413.27963846,1191863.94024692,1502387.29254284,1121428.542682,1275642.44385173,1809158.7219565,1502387.29254284,1335413.27963846,1502387.29254284,1335413.27963846,1402081.73811368,1502387.29254284,1502387.29254284,1502387.29254284,5.58897940707935
"PA 36:1"," [M-H]-@6.37",11976.4592245101,12964.3948766442,24927.793808888,14856.5922293296,10390.2614376092,37335.188332672,11692.1262614862,20090.3062441553,10081.7855588267,19551.2850426047,18227.3106571733,16977.7126066437,12184.9155840296,8580.54116734748,12796.5625080866,13942.5319546468,16977.7126066437,11976.4592245101,14364.0936677753,10081.7855588267,8580.54116734748,7842.77379494768,14856.5922293296,28562.8753300234,11469.547672019,28036.3954852253,13222.5141074643,9389.09614175612,4748.28122391277,16266.6007322848,14159.4172870317,6289.33066001893,7342.00216429879,20090.3062441553,17653.0468328609,10807.0903027805,8674.60542344305,14994.1933742864,7175.47660733322,19551.2850426047,19551.2850426047,9652.2881630867,11106.5995383829,10213.8036292411,13222.5141074643,13942.5319546468,11469.547672019,7958.68099521296,13222.5141074643,13525.5969603434,11469.547672019,12796.5625080866,12184.9155840296,12796.5625080866,13767.4155586639,6.1942594319383
"PC 37:2"," [M-Ac-H]-@7.17",13525.5969603434,25359.4961376173,13525.5969603434,22339.1385149186,11692.1262614862,18996.1980238552,28562.8753300234,26386.6191432758,19551.2850426047,7662.26575393545,12964.3948766442,15924.7504294567,16266.6007322848,17295.4484780253,21469.6889966221,11692.1262614862,12964.3948766442,14856.5922293296,16266.6007322848,17653.0468328609,21469.6889966221,22765.2892577217,17653.0468328609,15924.7504294567,13767.4155586639,22765.2892577217,26386.6191432758,24927.793808888,16266.6007322848,33712.1593854565,22765.2892577217,26154.9063350395,34816.2292933379,16977.7126066437,17295.4484780253,7342.00216429879,24359.1009633871,43832.3602661799,33712.1593854565,35604.7529681929,22339.1385149186,24927.793808888,22765.2892577217,20960.3514526219,12362.8544060816,33712.1593854565,30921.7774279654,36175.8079706462,20397.3985975092,20090.3062441553,22765.2892577217,18546.9651133156,20960.3514526219,21469.6889966221,21469.6889966221,6.36335277156014
"PE 41:4"," [M-H]-@7.67",29833.3524965028,21469.6889966221,25359.4961376173,26975.7613843969,16266.6007322848,21875.7054352157,29833.3524965028,30921.7774279654,22339.1385149186,18227.3106571733,22765.2892577217,17653.0468328609,26154.9063350395,23275.8576896441,20694.7584137579,15924.7504294567,22339.1385149186,24359.1009633871,7342.00216429879,22339.1385149186,24927.793808888,29833.3524965028,21875.7054352157,21875.7054352157,17653.0468328609,13525.5969603434,18227.3106571733,20960.3514526219,20090.3062441553,13942.5319546468,18996.1980238552,26386.6191432758,24927.793808888,24927.793808888,14364.0936677753,20694.7584137579,24927.793808888,21875.7054352157,26154.9063350395,23275.8576896441,25359.4961376173,24086.534067023,24086.534067023,15403.1035120041,22339.1385149186,20694.7584137579,29833.3524965028,33288.4448987544,21875.7054352157,24359.1009633871,20960.3514526219,20694.7584137579,22339.1385149186,21875.7054352157,24086.534067023,6.38107753830386
"PE 40:7"," [M-H]-@8.07",3991.3748774096,4748.28122391277,4167.15954181807,4928.67225282779,5484.76882944373,3612.42450746274,4684.86472175451,3991.3748774096,3124.36269521101,5583.55899821461,5936.64649159397,4342.12542272719,6369.13933549184,4167.15954181807,3298.74597581063,6820.23597199196,3612.42450746274,6543.25764471686,9389.09614175612,6612.71816521373,8058.29143969921,12796.5625080866,6369.13933549184,6692.07812720161,6612.71816521373,3944.63350248391,3190.93733642942,5081.82969265839,7243.7404663457,2348.23663247028,5153.13534799435,10213.8036292411,6458.12179229517,6124.59842367946,9827.58516510342,10213.8036292411,7581.25015341629,3885.65596384799,4130.83029362121,2405.41617633785,3719.73096664114,6893.99101869691,2459.38728185783,7175.47660733322,5370.91325114622,5314.72626670759,4928.67225282779,4928.67225282779,5722.81358738548,6692.07812720161,6369.13933549184,6030.59166744479,6458.12179229517,5722.81358738548,5722.81358738548,6.63200905225331
"PE 40:6"," [M-H]-@6.76",4657575.21988667,4657575.21988667,2981965.03603535,5362269.2356172,3846506.03054789,3846506.03054789,2981965.03603535,4657575.21988667,2981965.03603535,4657575.21988667,3846506.03054789,3846506.03054789,4657575.21988667,3846506.03054789,2981965.03603535,4657575.21988667,2981965.03603535,3846506.03054789,5362269.2356172,4657575.21988667,3846506.03054789,4657575.21988667,3846506.03054789,3846506.03054789,3846506.03054789,5362269.2356172,5362269.2356172,6652040.89899764,4657575.21988667,5362269.2356172,5362269.2356172,5362269.2356172,5362269.2356172,4657575.21988667,3846506.03054789,3846506.03054789,3846506.03054789,4657575.21988667,5362269.2356172,3846506.03054789,3846506.03054789,5362269.2356172,5362269.2356172,4657575.21988667,3846506.03054789,5362269.2356172,5362269.2356172,5362269.2356172,4657575.21988667,4657575.21988667,4657575.21988667,4657575.21988667,4657575.21988667,4657575.21988667,3846506.03054789,6.74978060470406
"PC 36:2"," [M-Ac-H]-@6.82",702224.346138206,1035474.07508239,702224.346138206,860116.9553139,751429.470397799,702224.346138206,1085632.68115325,929044.315194367,860116.9553139,751429.470397799,563651.214799404,929044.315194367,929044.315194367,1085632.68115325,1121428.542682,751429.470397799,929044.315194367,1035474.07508239,1035474.07508239,1035474.07508239,1085632.68115325,659799.530305578,1121428.542682,1191863.94024692,1191863.94024692,929044.315194367,1121428.542682,702224.346138206,860116.9553139,1191863.94024692,659799.530305578,563651.214799404,1035474.07508239,860116.9553139,702224.346138206,394714.949936202,659799.530305578,1035474.07508239,751429.470397799,1085632.68115325,860116.9553139,751429.470397799,659799.530305578,1085632.68115325,1191863.94024692,1085632.68115325,860116.9553139,751429.470397799,751429.470397799,860116.9553139,860116.9553139,860116.9553139,860116.9553139,929044.315194367,929044.315194367,6.87651437793282
"PE 36:1"," [M-H]-@7.43",563651.214799404,617257.682346834,617257.682346834,702224.346138206,411292.898500065,432887.007589272,472144.840490419,512788.22308561,512788.22308561,929044.315194367,702224.346138206,659799.530305578,512788.22308561,659799.530305578,617257.682346834,1502387.29254284,1191863.94024692,659799.530305578,411292.898500065,659799.530305578,860116.9553139,702224.346138206,751429.470397799,702224.346138206,929044.315194367,352004.975271914,563651.214799404,563651.214799404,563651.214799404,336573.855192415,563651.214799404,702224.346138206,411292.898500065,751429.470397799,929044.315194367,751429.470397799,1121428.542682,617257.682346834,563651.214799404,617257.682346834,702224.346138206,563651.214799404,563651.214799404,432887.007589272,929044.315194367,617257.682346834,617257.682346834,617257.682346834,617257.682346834,617257.682346834,563651.214799404,512788.22308561,617257.682346834,617257.682346834,617257.682346834,6.93942119013767
"CL 76:4"," [M-2H](2-)@6.66",10560.0202811424,9250.64966236269,10807.0903027805,16511.7738776391,9389.09614175612,8420.87075083541,12184.9155840296,13767.4155586639,14364.0936677753,9389.09614175612,10390.2614376092,11270.4635228106,12964.3948766442,15403.1035120041,12570.5021574445,8337.67239004813,9250.64966236269,11270.4635228106,13942.5319546468,12184.9155840296,12964.3948766442,15924.7504294567,11106.5995383829,10390.2614376092,9827.58516510342,15924.7504294567,12362.8544060816,13767.4155586639,20960.3514526219,13767.4155586639,14364.0936677753,18546.9651133156,20960.3514526219,14159.4172870317,7958.68099521296,9250.64966236269,11692.1262614862,18227.3106571733,13222.5141074643,16511.7738776391,14541.282991194,14541.282991194,13222.5141074643,14541.282991194,8580.54116734748,14541.282991194,18227.3106571733,9652.2881630867,13525.5969603434,13222.5141074643,12964.3948766442,14364.0936677753,14541.282991194,11692.1262614862,12964.3948766442,7.20881538439774
"PS 38:4"," [M-H]-@6.00",2981965.03603535,5362269.2356172,3846506.03054789,3846506.03054789,4657575.21988667,5362269.2356172,3846506.03054789,2981965.03603535,3846506.03054789,3846506.03054789,4657575.21988667,4657575.21988667,3846506.03054789,2981965.03603535,3846506.03054789,2981965.03603535,4657575.21988667,4657575.21988667,1335413.27963846,3846506.03054789,4657575.21988667,3846506.03054789,4657575.21988667,4657575.21988667,4657575.21988667,4657575.21988667,4657575.21988667,2981965.03603535,2981965.03603535,6652040.89899764,3846506.03054789,3846506.03054789,3846506.03054789,3846506.03054789,5362269.2356172,4657575.21988667,6652040.89899764,3846506.03054789,3846506.03054789,4657575.21988667,4657575.21988667,3846506.03054789,2981965.03603535,3846506.03054789,4657575.21988667,3846506.03054789,3846506.03054789,2981965.03603535,3846506.03054789,3846506.03054789,3846506.03054789,3846506.03054789,3846506.03054789,3846506.03054789,4657575.21988667,7.73666018485448
"plasmenyl-PE 38:6"," [M-H]-@6.58",375529.627625284,375529.627625284,432887.007589272,512788.22308561,432887.007589272,411292.898500065,432887.007589272,563651.214799404,472144.840490419,659799.530305578,512788.22308561,512788.22308561,563651.214799404,512788.22308561,394714.949936202,362490.366727177,659799.530305578,563651.214799404,751429.470397799,411292.898500065,563651.214799404,472144.840490419,472144.840490419,432887.007589272,617257.682346834,472144.840490419,472144.840490419,432887.007589272,394714.949936202,328266.746833452,375529.627625284,352004.975271914,362490.366727177,659799.530305578,659799.530305578,860116.9553139,432887.007589272,411292.898500065,352004.975271914,362490.366727177,472144.840490419,411292.898500065,375529.627625284,563651.214799404,432887.007589272,432887.007589272,472144.840490419,432887.007589272,472144.840490419,472144.840490419,472144.840490419,411292.898500065,512788.22308561,472144.840490419,411292.898500065,7.98707991794914
